aprovisionador,es_fraudulento
PRV54707,No
PRV51214,No
PRV56751,No
PRV52971,No
PRV53761,No
PRV56286,No
PRV52361,No
PRV53383,No
PRV53865,No
PRV52752,No
PRV52641,No
PRV57528,Yes
PRV52421,No
PRV53828,No
PRV56011,Yes
PRV56971,No
PRV55335,No
PRV51213,No
PRV52870,Yes
PRV56181,No
PRV57379,No
PRV53611,No
PRV57100,No
PRV57273,No
PRV56218,No
PRV57184,No
PRV56972,No
PRV52617,No
PRV56818,No
PRV57204,Yes
PRV56909,No
PRV55656,No
PRV57013,No
PRV56809,No
PRV54949,No
PRV52225,No
PRV51889,No
PRV53359,No
PRV55131,No
PRV51035,No
PRV57103,Yes
PRV53957,No
PRV53429,No
PRV53654,No
PRV51639,No
PRV57721,No
PRV56930,No
PRV57502,Yes
PRV56796,No
PRV53571,No
PRV51011,No
PRV54317,No
PRV55581,No
PRV51154,No
PRV54741,No
PRV54520,No
PRV54596,No
PRV56044,No
PRV55691,No
PRV56882,No
PRV57136,No
PRV51619,No
PRV55964,No
PRV51306,No
PRV53906,No
PRV53183,No
PRV53059,No
PRV54643,No
PRV52187,No
PRV56406,No
PRV57287,No
PRV55644,No
PRV51654,No
PRV56163,No
PRV55856,No
PRV53771,No
PRV51602,No
PRV56731,Yes
PRV52532,No
PRV52129,No
PRV54226,No
PRV54551,No
PRV56379,No
PRV55789,No
PRV52107,No
PRV52935,No
PRV52235,No
PRV57517,No
PRV57326,No
PRV51282,No
PRV54664,No
PRV51394,No
PRV56212,No
PRV57382,No
PRV52821,Yes
PRV52052,No
PRV55433,Yes
PRV56137,No
PRV54904,No
PRV56057,No
PRV52217,No
PRV57641,No
PRV54001,No
PRV55463,No
PRV54442,No
PRV57193,No
PRV51003,Yes
PRV51550,No
PRV56549,No
PRV57336,No
PRV56170,No
PRV55167,No
PRV54828,Yes
PRV53932,No
PRV57472,No
PRV55043,No
PRV53279,No
PRV54282,No
PRV52693,No
PRV56316,No
PRV57599,No
PRV55972,No
PRV52463,No
PRV51727,No
PRV51252,No
PRV53530,No
PRV54392,No
PRV55919,No
PRV54341,No
PRV54955,Yes
PRV56094,No
PRV53071,No
PRV55913,Yes
PRV52369,No
PRV52464,No
PRV57272,No
PRV57650,No
PRV53959,Yes
PRV53896,No
PRV52472,No
PRV57422,No
PRV55614,No
PRV54614,No
PRV53162,No
PRV54796,No
PRV56711,Yes
PRV55981,No
PRV51469,No
PRV51572,No
PRV56651,No
PRV54283,No
PRV56675,No
PRV56937,No
PRV53994,No
PRV57052,No
PRV56243,No
PRV52536,No
PRV56335,No
PRV53127,No
PRV55564,No
PRV54219,No
PRV56893,No
PRV54539,No
PRV51600,No
PRV52222,No
PRV51689,No
PRV57093,No
PRV52706,No
PRV55578,No
PRV52021,Yes
PRV51155,No
PRV51658,No
PRV51641,No
PRV52787,No
PRV53664,No
PRV56634,No
PRV54185,No
PRV56826,No
PRV57307,No
PRV51884,No
PRV53894,Yes
PRV56762,No
PRV51156,No
PRV53437,No
PRV55191,No
PRV55927,No
PRV57240,No
PRV56950,No
PRV53221,No
PRV55679,No
PRV55331,No
PRV54060,No
PRV52088,No
PRV54124,No
PRV57036,No
PRV51403,No
PRV52703,No
PRV52480,No
PRV53321,No
PRV54991,No
PRV57159,No
PRV55990,No
PRV54034,No
PRV51288,No
PRV52896,No
PRV56334,No
PRV55237,No
PRV54427,No
PRV54043,No
PRV55879,No
PRV54450,No
PRV56521,No
PRV56640,No
PRV53527,No
PRV55549,No
PRV53143,No
PRV56964,No
PRV53887,Yes
PRV52422,No
PRV53398,No
PRV53339,No
PRV53862,No
PRV54841,No
PRV53682,No
PRV51957,No
PRV51433,Yes
PRV56740,No
PRV56004,No
PRV57088,No
PRV53561,No
PRV53314,No
PRV57238,No
PRV57167,Yes
PRV55871,No
PRV55361,No
PRV51297,No
PRV52317,No
PRV53996,No
PRV54959,No
PRV56572,No
PRV51855,No
PRV57477,No
PRV53963,No
PRV52519,No
PRV56653,No
PRV51644,No
PRV53801,No
PRV56253,Yes
PRV51921,No
PRV52249,No
PRV57325,No
PRV56642,No
PRV55945,No
PRV53102,No
PRV53716,No
PRV54489,No
PRV51130,No
PRV53918,Yes
PRV55490,No
PRV51618,No
PRV56856,No
PRV53187,No
PRV57148,No
PRV56267,No
PRV54505,Yes
PRV54128,No
PRV56914,No
PRV52985,Yes
PRV51576,No
PRV53793,No
PRV53907,No
PRV54313,No
PRV51045,No
PRV55511,No
PRV56317,No
PRV54554,No
PRV51139,No
PRV57146,No
PRV56029,No
PRV51454,No
PRV51738,No
PRV53526,No
PRV57373,No
PRV57350,No
PRV56055,No
PRV54213,No
PRV52461,No
PRV51143,No
PRV56750,No
PRV53417,Yes
PRV56906,No
PRV52953,No
PRV57322,No
PRV56578,No
PRV54848,No
PRV53091,No
PRV54886,No
PRV53009,No
PRV55727,No
PRV57448,No
PRV56790,No
PRV52313,No
PRV56584,No
PRV55151,No
PRV55950,No
PRV53154,No
PRV53536,No
PRV55989,No
PRV53647,No
PRV51410,Yes
PRV52289,No
PRV53746,No
PRV51262,No
PRV51938,No
PRV55790,No
PRV51805,Yes
PRV51326,No
PRV51451,No
PRV54543,Yes
PRV55481,No
PRV51263,Yes
PRV55956,No
PRV53846,No
PRV53829,No
PRV57076,No
PRV52271,No
PRV51459,Yes
PRV56116,No
PRV57468,No
PRV56113,No
PRV51899,No
PRV54116,No
PRV55439,No
PRV57509,No
PRV56207,No
PRV56464,No
PRV52354,No
PRV54768,No
PRV55745,No
PRV55552,No
PRV56447,Yes
PRV52630,Yes
PRV55081,No
PRV51480,Yes
PRV53343,No
PRV51173,Yes
PRV52541,No
PRV53981,No
PRV55792,No
PRV54273,No
PRV51337,Yes
PRV54569,No
PRV52321,Yes
PRV57396,No
PRV53251,No
PRV55604,No
PRV54695,No
PRV52386,No
PRV51613,No
PRV55165,Yes
PRV51490,Yes
PRV53718,No
PRV54372,Yes
PRV55915,No
PRV51376,No
PRV53108,No
PRV51950,No
PRV53416,No
PRV54468,No
PRV51542,Yes
PRV52378,No
PRV54461,No
PRV56857,No
PRV51877,No
PRV51731,No
PRV55774,No
PRV52898,No
PRV51341,No
PRV56213,No
PRV55936,No
PRV51546,No
PRV56021,No
PRV56873,No
PRV51274,No
PRV54400,No
PRV54715,No
PRV55993,No
PRV57388,No
PRV53449,No
PRV53269,Yes
PRV52731,No
PRV51293,No
PRV52478,No
PRV52045,Yes
PRV51750,No
PRV51474,No
PRV56615,No
PRV53631,No
PRV56260,No
PRV52665,No
PRV57177,Yes
PRV57174,No
PRV54682,No
PRV51251,No
PRV53456,No
PRV51290,No
PRV53329,No
PRV56413,No
PRV57344,Yes
PRV57324,No
PRV52057,No
PRV53515,No
PRV55935,No
PRV53186,No
PRV51624,No
PRV52558,No
PRV53499,No
PRV56130,No
PRV52806,No
PRV56280,No
PRV54171,No
PRV52253,No
PRV53820,No
PRV57358,No
PRV52862,No
PRV55238,No
PRV55120,No
PRV55036,No
PRV53646,No
PRV54692,Yes
PRV54289,No
PRV52963,No
PRV54371,No
PRV51322,No
PRV57546,No
PRV55383,No
PRV57632,No
PRV54382,Yes
PRV57202,No
PRV54481,No
PRV55662,No
PRV52976,No
PRV51041,No
PRV53001,No
PRV53733,No
PRV54324,No
PRV57504,No
PRV55384,No
PRV57624,No
PRV56807,No
PRV57327,No
PRV51096,No
PRV51076,No
PRV54430,No
PRV53797,Yes
PRV52013,No
PRV57738,No
PRV54725,No
PRV57275,No
PRV55580,No
PRV52667,No
PRV53077,No
PRV55203,No
PRV53201,No
PRV51042,No
PRV56291,No
PRV57078,No
PRV52085,No
PRV55729,No
PRV55868,No
PRV56206,No
PRV55776,No
PRV53246,No
PRV55375,Yes
PRV57715,No
PRV54599,No
PRV52185,No
PRV53678,No
PRV57150,No
PRV53763,Yes
PRV55805,No
PRV53136,Yes
PRV57162,Yes
PRV53242,Yes
PRV56981,No
PRV55777,No
PRV56547,No
PRV52766,No
PRV52605,No
PRV54454,No
PRV55144,No
PRV56537,No
PRV54906,No
PRV54109,No
PRV57386,No
PRV51446,No
PRV52615,No
PRV55106,No
PRV53450,No
PRV51737,No
PRV54051,No
PRV52876,No
PRV51181,No
PRV52450,No
PRV53283,No
PRV57539,No
PRV55398,No
PRV54031,No
PRV57331,No
PRV56560,Yes
PRV56531,No
PRV53149,No
PRV52452,No
PRV52672,No
PRV56854,No
PRV57082,No
PRV54581,No
PRV57034,No
PRV52932,No
PRV52448,No
PRV54415,No
PRV56448,No
PRV56585,No
PRV57424,No
PRV51005,Yes
PRV53774,No
PRV54671,No
PRV53942,No
PRV51724,No
PRV52829,No
PRV54870,No
PRV56255,No
PRV51391,No
PRV53431,No
PRV53946,No
PRV51549,No
PRV51969,No
PRV53875,No
PRV56418,No
PRV52230,No
PRV56515,No
PRV55624,No
PRV55281,No
PRV54923,No
PRV51137,No
PRV55427,No
PRV51032,No
PRV55270,No
PRV54517,No
PRV55664,No
PRV54134,No
PRV55876,No
PRV54497,No
PRV57410,No
PRV55475,No
PRV57709,Yes
PRV51806,No
PRV56649,Yes
PRV55561,No
PRV53110,No
PRV55205,No
PRV52302,No
PRV51824,No
PRV52204,No
PRV52919,No
PRV56056,No
PRV56216,No
PRV56556,No
PRV52007,No
PRV56884,No
PRV57224,No
PRV52684,No
PRV53581,No
PRV51676,No
PRV52318,No
PRV56880,No
PRV56101,No
PRV54391,Yes
PRV55779,No
PRV52500,No
PRV54259,No
PRV52733,No
PRV52507,No
PRV55362,No
PRV52910,No
PRV55508,No
PRV55072,No
PRV57121,No
PRV53928,No
PRV54753,No
PRV51415,No
PRV56454,No
PRV55798,No
PRV54911,No
PRV52209,No
PRV52119,Yes
PRV51915,No
PRV57119,No
PRV52470,No
PRV56060,No
PRV53838,No
PRV53442,No
PRV55189,No
PRV53578,No
PRV53759,No
PRV52847,Yes
PRV51932,No
PRV51770,No
PRV54805,No
PRV54674,No
PRV51126,Yes
PRV53491,No
PRV56655,No
PRV51467,No
PRV54448,No
PRV54546,No
PRV57297,Yes
PRV57216,No
PRV54439,No
PRV54882,Yes
PRV53411,No
PRV56529,No
PRV55409,No
PRV54014,No
PRV55999,No
PRV52844,No
PRV52529,No
PRV52241,No
PRV51987,No
PRV53619,No
PRV56435,Yes
PRV57465,No
PRV52320,Yes
PRV52491,No
PRV52443,No
PRV54932,No
PRV57239,No
PRV51392,No
PRV53014,No
PRV55904,No
PRV52148,No
PRV56252,No
PRV53704,No
PRV53503,No
PRV52755,No
PRV56963,No
PRV56387,No
PRV57441,No
PRV56524,No
PRV54340,No
PRV57077,No
PRV53371,No
PRV57530,No
PRV52544,No
PRV51419,No
PRV57380,No
PRV56801,No
PRV53396,No
PRV52213,No
PRV56768,No
PRV51404,No
PRV57041,No
PRV56866,No
PRV57291,No
PRV52719,No
PRV53594,No
PRV55926,No
PRV54854,No
PRV57025,Yes
PRV53381,No
PRV52924,No
PRV54806,No
PRV54552,No
PRV55314,No
PRV54530,No
PRV52676,No
PRV52303,No
PRV52899,No
PRV54575,No
PRV51434,Yes
PRV54475,No
PRV53240,No
PRV53207,No
PRV51630,No
PRV56858,No
PRV56439,No
PRV52814,No
PRV55169,No
PRV53706,Yes
PRV55807,No
PRV56993,No
PRV57758,No
PRV53726,No
PRV52351,No
PRV56977,No
PRV56843,No
PRV56303,No
PRV51289,No
PRV52135,Yes
PRV53595,No
PRV56394,No
PRV57552,No
PRV56278,No
PRV54253,No
PRV56392,Yes
PRV52895,No
PRV56894,No
PRV54092,No
PRV53397,Yes
PRV51905,No
PRV51455,No
PRV53632,No
PRV52540,No
PRV57746,No
PRV55550,Yes
PRV57734,No
PRV55330,No
PRV55218,No
PRV56982,No
PRV51427,No
PRV53095,No
PRV54258,Yes
PRV52746,No
PRV54164,No
PRV56165,No
PRV53297,Yes
PRV54833,No
PRV57433,No
PRV54704,No
PRV56487,No
PRV52189,No
PRV51180,No
PRV53772,No
PRV52763,No
PRV57516,No
PRV56497,No
PRV51614,Yes
PRV55911,Yes
PRV54678,No
PRV53683,No
PRV54332,No
PRV56486,No
PRV57246,No
PRV57244,No
PRV51236,No
PRV52149,No
PRV57301,No
PRV57376,No
PRV55556,No
PRV51517,No
PRV51241,No
PRV53277,Yes
PRV51842,Yes
PRV56367,No
PRV51802,No
PRV56931,No
PRV55821,Yes
PRV51879,No
PRV55087,No
PRV54479,No
PRV52381,No
PRV56463,No
PRV55884,No
PRV53300,No
PRV51112,No
PRV51592,No
PRV57760,No
PRV54992,No
PRV52700,No
PRV54020,No
PRV52161,No
PRV53362,No
PRV52698,No
PRV52412,No
PRV56903,No
PRV52958,No
PRV52278,No
PRV53099,No
PRV56092,No
PRV57611,No
PRV57690,No
PRV53913,No
PRV52474,No
PRV56519,No
PRV57687,No
PRV56351,No
PRV56846,No
PRV56245,No
PRV51128,No
PRV53393,No
PRV52579,No
PRV52102,No
PRV54588,No
PRV53662,No
PRV56249,Yes
PRV52872,No
PRV55254,No
PRV53390,No
PRV56047,No
PRV55232,No
PRV57368,No
PRV52282,No
PRV52564,No
PRV56706,Yes
PRV52922,No
PRV53876,No
PRV54293,No
PRV55141,No
PRV55261,No
PRV53378,No
PRV54269,No
PRV55156,No
PRV55750,No
PRV56177,No
PRV53121,Yes
PRV51026,No
PRV52503,No
PRV53318,No
PRV54357,No
PRV52232,No
PRV51798,No
PRV55146,No
PRV51219,No
PRV55527,No
PRV52771,No
PRV51515,No
PRV52436,No
PRV56834,No
PRV53729,No
PRV51551,No
PRV54457,No
PRV54580,No
PRV52275,No
PRV54455,No
PRV57378,No
PRV54714,No
PRV56656,No
PRV52011,No
PRV54737,No
PRV52042,No
PRV54506,No
PRV52599,No
PRV57328,No
PRV56792,No
PRV55345,No
PRV52294,No
PRV54708,No
PRV53816,No
PRV51790,No
PRV56120,No
PRV52689,No
PRV54122,No
PRV53598,No
PRV51972,No
PRV52237,No
PRV51612,No
PRV56845,No
PRV55907,No
PRV51074,No
PRV57397,No
PRV51089,No
PRV53355,No
PRV54890,No
PRV54925,Yes
PRV54670,No
PRV51165,No
PRV51153,No
PRV54046,No
PRV56850,No
PRV56607,No
PRV51771,No
PRV57495,Yes
PRV52668,No
PRV56027,No
PRV55160,No
PRV56046,No
PRV52397,No
PRV55579,No
PRV52882,No
PRV57061,No
PRV53281,No
PRV53722,No
PRV52048,No
PRV53033,No
PRV57207,No
PRV55333,No
PRV52739,No
PRV51558,No
PRV51849,No
PRV55744,No
PRV55452,No
PRV56541,Yes
PRV56474,No
PRV53179,No
PRV53698,No
PRV56935,No
PRV55849,Yes
PRV56679,No
PRV55813,No
PRV52913,No
PRV52792,No
PRV53382,No
PRV51398,No
PRV52578,Yes
PRV54409,No
PRV53272,No
PRV57456,No
PRV54238,No
PRV52128,No
PRV53486,No
PRV54199,No
PRV54718,Yes
PRV51894,No
PRV54378,No
PRV52420,Yes
PRV55426,No
PRV54225,Yes
PRV56270,No
PRV54290,No
PRV51595,No
PRV55707,No
PRV54150,No
PRV56473,No
PRV54089,No
PRV56954,No
PRV54824,No
PRV54334,No
PRV56032,No
PRV53622,No
PRV54158,No
PRV52138,No
PRV52046,No
PRV52551,No
PRV53814,No
PRV51053,No
PRV54845,Yes
PRV51740,No
PRV52418,No
PRV52212,No
PRV56104,Yes
PRV56948,No
PRV55430,Yes
PRV52514,No
PRV55627,No
PRV56182,No
PRV51809,No
PRV54311,No
PRV52638,No
PRV51012,No
PRV56946,No
PRV52218,No
PRV57601,No
PRV54412,No
PRV54300,No
PRV54149,Yes
PRV55377,No
PRV57133,No
PRV55753,No
PRV53336,No
PRV57278,No
PRV55585,No
PRV55634,No
PRV56900,No
PRV52535,No
PRV53223,No
PRV57187,No
PRV52798,No
PRV55496,Yes
PRV51122,No
PRV55326,No
PRV55353,No
PRV55001,No
PRV51393,Yes
PRV56657,No
PRV51186,No
PRV57264,No
PRV53861,No
PRV54573,No
PRV55448,No
PRV55670,Yes
PRV53473,No
PRV56755,No
PRV54832,Yes
PRV51371,No
PRV54119,No
PRV51499,No
PRV57727,No
PRV54776,No
PRV51448,No
PRV51803,No
PRV54467,No
PRV52484,No
PRV52616,No
PRV52392,No
PRV54107,No
PRV51571,No
PRV51751,No
PRV53470,No
PRV54538,No
PRV56264,No
PRV54320,No
PRV55631,No
PRV54379,No
PRV54036,No
PRV52248,No
PRV51318,No
PRV54528,No
PRV52155,No
PRV57113,No
PRV54661,No
PRV53310,No
PRV57081,No
PRV55358,No
PRV51495,Yes
PRV52604,No
PRV54999,No
PRV51030,No
PRV57565,No
PRV53070,No
PRV54684,No
PRV53284,No
PRV51826,Yes
PRV52903,Yes
PRV55806,No
PRV53785,No
PRV57369,No
PRV53933,No
PRV57473,No
PRV55916,No
PRV52916,No
PRV52065,Yes
PRV55408,No
PRV57196,No
PRV54548,No
PRV53709,No
PRV54084,No
PRV54168,No
PRV51593,Yes
PRV56257,Yes
PRV53705,No
PRV55803,No
PRV56764,No
PRV52130,No
PRV57447,No
PRV51287,No
PRV52796,No
PRV55847,No
PRV55359,No
PRV54142,No
PRV53335,No
PRV51673,No
PRV57057,No
PRV55881,No
PRV56819,No
PRV51941,No
PRV55671,No
PRV54244,No
PRV53745,No
PRV52094,No
PRV56480,No
PRV53083,No
PRV53086,No
PRV52257,No
PRV57673,No
PRV56663,No
PRV57693,No
PRV54040,No
PRV57355,No
PRV57048,No
PRV56258,No
PRV53905,No
PRV56152,No
PRV52825,No
PRV53857,No
PRV51993,No
PRV51439,No
PRV55740,No
PRV56123,No
PRV55154,No
PRV56668,Yes
PRV53768,No
PRV56766,No
PRV51934,No
PRV52263,No
PRV57375,No
PRV56672,No
PRV55712,No
PRV55459,No
PRV54703,No
PRV53680,No
PRV55184,No
PRV51441,No
PRV54136,No
PRV56618,No
PRV51325,No
PRV51224,No
PRV53471,No
PRV56626,No
PRV56222,No
PRV52999,No
PRV53158,No
PRV51311,No
PRV52926,No
PRV52131,No
PRV52878,No
PRV53812,No
PRV51569,No
PRV56287,No
PRV52784,No
PRV51694,No
PRV56478,No
PRV54767,No
PRV52853,No
PRV56051,No
PRV52751,No
PRV56501,Yes
PRV54347,No
PRV56614,No
PRV54781,Yes
PRV56613,No
PRV56810,No
PRV53624,No
PRV53076,No
PRV53692,Yes
PRV51369,Yes
PRV54162,No
PRV55737,No
PRV51563,No
PRV52288,No
PRV55092,No
PRV52590,Yes
PRV51510,No
PRV57684,No
PRV57426,No
PRV52869,No
PRV52346,No
PRV55136,No
PRV52206,No
PRV57619,No
PRV53309,No
PRV51115,No
PRV57016,No
PRV55677,No
PRV51698,No
PRV52074,No
PRV51949,No
PRV55172,Yes
PRV56281,No
PRV51024,No
PRV55583,No
PRV57747,No
PRV51786,No
PRV53723,No
PRV54230,Yes
PRV51303,No
PRV57235,No
PRV57298,No
PRV53919,Yes
PRV54954,No
PRV56384,No
PRV52815,Yes
PRV51059,Yes
PRV57521,No
PRV53773,No
PRV57097,No
PRV54389,No
PRV57741,No
PRV52990,Yes
PRV55274,No
PRV56738,No
PRV53424,No
PRV53767,No
PRV51360,No
PRV53569,No
PRV54952,Yes
PRV51753,No
PRV57218,No
PRV52571,No
PRV56466,No
PRV54615,No
PRV55227,No
PRV56068,No
PRV54929,Yes
PRV54604,No
PRV56193,No
PRV51477,No
PRV56559,No
PRV56667,No
PRV57277,No
PRV51475,No
PRV55059,No
PRV56482,No
PRV55948,No
PRV52669,No
PRV51113,No
PRV53878,No
PRV56146,No
PRV56563,No
PRV56611,No
PRV51875,No
PRV55185,No
PRV54459,No
PRV54053,No
PRV53506,No
PRV51851,Yes
PRV52178,Yes
PRV56576,No
PRV51237,No
PRV56404,No
PRV53142,Yes
PRV53625,No
PRV52692,No
PRV51179,No
PRV56065,No
PRV51256,No
PRV54778,Yes
PRV55112,No
PRV54908,No
PRV55595,No
PRV53379,Yes
PRV56702,No
PRV55572,No
PRV53084,No
PRV52058,No
PRV56149,No
PRV56339,No
PRV55621,No
PRV53874,No
PRV57263,No
PRV55054,No
PRV57315,No
PRV53175,No
PRV53888,No
PRV52453,No
PRV55041,No
PRV51999,No
PRV52822,No
PRV51996,No
PRV54545,No
PRV56829,No
PRV54529,No
PRV52510,No
PRV56821,No
PRV53807,No
PRV51931,No
PRV56685,Yes
PRV53991,No
PRV56166,No
PRV53120,No
PRV54274,No
PRV55095,No
PRV52640,No
PRV51025,No
PRV52760,No
PRV55197,No
PRV55641,No
PRV54660,No
PRV55598,No
PRV55357,No
PRV57519,No
PRV53988,No
PRV56522,No
PRV53620,No
PRV56397,No
PRV56659,No
PRV54774,No
PRV54102,No
PRV53349,No
PRV54535,No
PRV56489,No
PRV57490,No
PRV54070,Yes
PRV55304,No
PRV54759,No
PRV55179,No
PRV52285,No
PRV55512,No
PRV57459,No
PRV55491,No
PRV53021,Yes
PRV57339,No
PRV51217,No
PRV52515,No
PRV56568,No
PRV54159,No
PRV53956,No
PRV51587,No
PRV55658,No
PRV52170,No
PRV53924,No
PRV57540,No
PRV56745,No
PRV52804,No
PRV52920,No
PRV55826,No
PRV52886,No
PRV55867,No
PRV51719,No
PRV51533,No
PRV55929,No
PRV55743,No
PRV55214,No
PRV54658,No
PRV54711,No
PRV55896,Yes
PRV52348,No
PRV53755,No
PRV54121,No
PRV56976,No
PRV57062,No
PRV55808,No
PRV51518,No
PRV53262,No
PRV54063,No
PRV51634,No
PRV55574,No
PRV52797,No
PRV55576,No
PRV56126,No
PRV57129,No
PRV52636,No
PRV53228,No
PRV51233,No
PRV57198,No
PRV53087,No
PRV53564,No
PRV56890,No
PRV54798,No
PRV51388,No
PRV56311,No
PRV57185,Yes
PRV51736,No
PRV51504,No
PRV53374,No
PRV54160,No
PRV51185,No
PRV55037,No
PRV53025,No
PRV55187,No
PRV52064,Yes
PRV51820,No
PRV52778,No
PRV57454,No
PRV51382,No
PRV54595,No
PRV55137,No
PRV56767,No
PRV56171,No
PRV53553,No
PRV51865,No
PRV55458,No
PRV51468,No
PRV51046,No
PRV52743,No
PRV53344,No
PRV51864,No
PRV52681,No
PRV56088,No
PRV56038,No
PRV55416,No
PRV53498,No
PRV52583,No
PRV55264,No
PRV55514,Yes
PRV52499,No
PRV57359,No
PRV57213,No
PRV54821,No
PRV51795,No
PRV51204,No
PRV55302,No
PRV57613,No
PRV56548,No
PRV57039,No
PRV56121,No
PRV53627,No
PRV53443,No
PRV56805,No
PRV54787,No
PRV53908,No
PRV55780,No
PRV55659,Yes
PRV52781,No
PRV51991,No
PRV51503,No
PRV52980,No
PRV55667,Yes
PRV53017,No
PRV52859,No
PRV52728,No
PRV54231,No
PRV51063,No
PRV53545,No
PRV57408,No
PRV54803,No
PRV54849,No
PRV54074,Yes
PRV57308,No
PRV53492,No
PRV53463,No
PRV55397,No
PRV56639,No
PRV51886,No
PRV53513,No
PRV54558,No
PRV57704,No
PRV51598,No
PRV52055,No
PRV55893,Yes
PRV51340,No
PRV52537,No
PRV51422,No
PRV56235,No
PRV53694,No
PRV53922,No
PRV52902,No
PRV53245,Yes
PRV56058,No
PRV57614,No
PRV55939,No
PRV51981,No
PRV52298,No
PRV53024,No
PRV53034,No
PRV53663,No
PRV53282,No
PRV55846,No
PRV53182,No
PRV54567,No
PRV56637,No
PRV53560,No
PRV52109,No
PRV56313,No
PRV52326,No
PRV52092,No
PRV57464,No
PRV55148,No
PRV51121,No
PRV51347,Yes
PRV52409,No
PRV54041,No
PRV56345,No
PRV55472,Yes
PRV53111,No
PRV56823,No
PRV53751,No
PRV54601,No
PRV57049,Yes
PRV52813,No
PRV57400,No
PRV52581,No
PRV56349,No
PRV55064,No
PRV56347,No
PRV51936,No
PRV51189,No
PRV57128,No
PRV55930,No
PRV56031,No
PRV53721,No
PRV55004,Yes
PRV56535,No
PRV55300,No
PRV56284,No
PRV56084,No
PRV51586,Yes
PRV57231,No
PRV56248,No
PRV54608,No
PRV52890,No
PRV54232,No
PRV57274,No
PRV55732,No
PRV57740,No
PRV55906,No
PRV54068,No
PRV53042,No
PRV56261,No
PRV55775,No
PRV55785,No
PRV55996,Yes
PRV56498,No
PRV57723,No
PRV55309,No
PRV54602,No
PRV57117,Yes
PRV51821,No
PRV54271,No
PRV57182,No
PRV55434,No
PRV56748,Yes
PRV56219,No
PRV53891,No
PRV51421,Yes
PRV56370,No
PRV51887,No
PRV52039,No
PRV56234,No
PRV57445,No
PRV52769,No
PRV54330,No
PRV56550,Yes
PRV52521,No
PRV51672,No
PRV54936,Yes
PRV51688,No
PRV56658,No
PRV56304,No
PRV55428,No
PRV56338,No
PRV55596,No
PRV52864,No
PRV52509,No
PRV53961,Yes
PRV56765,No
PRV53582,No
PRV55034,Yes
PRV54933,Yes
PRV51873,Yes
PRV55700,No
PRV53138,No
PRV51152,No
PRV52686,No
PRV55132,No
PRV57576,No
PRV55392,No
PRV52714,No
PRV51210,No
PRV56777,No
PRV57294,No
PRV54800,No
PRV54978,No
PRV55070,No
PRV53784,No
PRV51390,Yes
PRV51560,Yes
PRV56184,No
PRV55815,No
PRV57543,Yes
PRV54114,No
PRV57158,Yes
PRV51292,No
PRV52845,No
PRV56080,No
PRV53979,No
PRV51065,No
PRV57306,Yes
PRV52880,No
PRV55022,Yes
PRV57104,Yes
PRV57314,No
PRV52100,Yes
PRV51363,No
PRV51081,No
PRV55032,No
PRV51355,No
PRV54056,Yes
PRV54918,Yes
PRV55908,No
PRV56083,No
PRV51207,No
PRV51144,No
PRV55410,No
PRV53609,No
PRV51764,No
PRV53550,No
PRV56929,No
PRV51970,No
PRV54005,No
PRV51709,No
PRV56742,No
PRV56761,No
PRV52205,No
PRV51816,No
PRV54267,No
PRV51038,No
PRV54141,No
PRV56183,No
PRV55943,No
PRV52773,No
PRV52757,No
PRV54549,No
PRV57230,Yes
PRV57413,No
PRV53679,No
PRV54868,No
PRV54869,No
PRV55751,No
PRV53413,No
PRV51906,No
PRV56129,No
PRV52937,No
PRV55639,No
PRV51226,No
PRV52721,No
PRV51100,No
PRV53967,No
PRV54112,No
PRV51588,No
PRV55180,No
PRV57091,No
PRV51471,Yes
PRV55642,No
PRV56915,No
PRV55620,No
PRV57675,No
PRV54205,No
PRV56344,No
PRV53798,No
PRV51713,No
PRV53325,No
PRV52380,No
PRV57520,No
PRV55563,No
PRV56268,Yes
PRV54589,No
PRV51353,No
PRV54410,No
PRV56622,No
PRV56209,No
PRV55149,No
PRV53101,No
PRV51995,No
PRV55366,No
PRV53307,No
PRV53945,No
PRV52626,No
PRV54460,No
PRV51101,No
PRV55640,No
PRV51242,Yes
PRV51929,No
PRV52606,No
PRV51699,No
PRV56408,No
PRV56037,No
PRV53600,No
PRV54396,No
PRV52224,No
PRV53062,No
PRV56798,No
PRV56010,No
PRV52531,No
PRV54756,No
PRV51874,No
PRV54523,No
PRV56673,No
PRV53715,No
PRV57125,No
PRV57600,No
PRV57678,No
PRV57475,No
PRV55243,No
PRV57585,No
PRV57280,No
PRV52025,No
PRV53791,No
PRV52056,No
PRV53859,No
PRV55307,No
PRV57108,No
PRV57282,Yes
PRV53696,No
PRV53106,Yes
PRV51395,No
PRV54192,No
PRV57303,No
PRV55404,No
PRV56375,No
PRV55515,No
PRV51146,Yes
PRV52141,No
PRV51167,No
PRV55412,No
PRV54830,No
PRV55209,Yes
PRV52835,No
PRV54180,No
PRV52267,No
PRV52774,No
PRV55341,No
PRV52201,No
PRV57109,No
PRV54726,No
PRV56680,No
PRV55791,No
PRV53435,No
PRV52124,Yes
PRV54544,No
PRV56778,No
PRV57707,No
PRV52501,No
PRV55575,No
PRV52848,No
PRV51357,Yes
PRV57739,No
PRV57345,Yes
PRV53911,Yes
PRV54926,No
PRV57676,No
PRV57051,No
PRV54847,No
PRV54198,No
PRV53524,No
PRV56625,No
